Book,Odds,Bet Type,Team,Expected Value (%),Probability,Difference,Line,Projection
Fanduel,-105,Under,Los Angeles Dodgers,32.38185738030732,0.6780534158503546,8.799999999999997,102.5,93.7
Fanduel,-110,Under,Atlanta Braves,10.737519486362267,0.5800536734999928,3.4000000000000057,101.5,98.1
Fanduel,-122,Under,Houston Astros,3.6590236103398013,0.5696576973180836,3.0,93.5,90.5
BetMGM,-110,Under,Baltimore Orioles,22.398735130454,0.6411362316357114,6.299999999999997,90.5,84.2
Fanduel,-105,Under,New York Yankees,11.736317214352141,0.5723079662198525,3.0999999999999943,90.5,87.4
BetMGM,-105,Under,Philidephia Phillies,18.73700869725039,0.6081651664981118,4.599999999999994,89.5,84.9
Fanduel,-115,Under,Texas Rangers,21.126193064546385,0.647884288484783,6.700000000000003,88.5,81.8
BetMGM,-105,Under,Seattle Mariners,6.826162892290277,0.5471583953019746,2.200000000000003,87.5,85.3
BetMGM,-105,Under,Toronto Blue Jays,15.640645871111808,0.5923057471447191,3.9000000000000057,87.5,83.6
Fanduel,-105,Under,Minnesota Twins,1.9482574707007743,0.5221740016791991,1.4000000000000057,86.5,85.1
Fanduel,-110,Over,Tampa Bay Rays,-4.232200233470827,0.5016408559199147,-0.7999999999999972,84.5,85.3
Fanduel,-105,Under,Arizona Diamondbacks,-7.153619034724869,0.47555463421238486,0.09999999999999432,84.5,84.4
Fanduel,-105,Under,St Louis Cardinals,0.646816270984047,0.5155080833391866,1.2000000000000028,84.5,83.3
BetMGM,-105,Under,San Deigo Padres,-2.7598993171613344,0.49805905227795416,0.7000000000000028,83.5,82.8
BetMGM,-110,Under,San Francisco Giants,-7.021955663257366,0.4870278512876995,0.4000000000000057,83.5,83.1
BetMGM,-115,Under,Chicago Cubs,2.294830426021349,0.5471583953019746,2.200000000000003,84.5,82.3
BetMGM,-115,Under,Cincinatti Reds,8.915015109803939,0.5825686854710443,3.5,82.5,79
Fanduel,-110,Under,New York Mets,-4.915999110572386,0.49805905227795416,0.7000000000000028,81.5,80.8
BetMGM,-120,Under,Detriot Tigers,0.8519217844225082,0.5501013915513955,2.299999999999997,81.5,79.2
Fanduel,-110,Over,Cleveland Guardians,-4.232200233470827,0.5016408559199147,-0.7999999999999972,79.5,80.3
BetMGM,100,Over,Miami Marlins,14.98475075540344,0.5749237537770172,-3.200000000000003,77.5,80.7
BetMGM,100,Over,Boston Red Sox,5.733518882852806,0.528667594414264,-1.5999999999999943,77.5,79.1
Fanduel,-105,Over,Milwaukee Brewers,10.163464502640032,0.5642518913549855,-2.799999999999997,77.5,80.3
BetMGM,-110,Over,Pittsburg Pirates,3.3115059908069355,0.5411555075708935,-2.0,75.5,77.5
Fanduel,-110,Over,Kansas City Royales,6.121211494972549,0.5558730125927134,-2.5,73.5,76
BetMGM,-105,Over,Los Angeles Angels,20.78121399054462,0.6186354862930334,-5.099999999999994,72.5,77.6
Fanduel,-115,Under,Washington Nationals,0.6002922710149932,0.5380945865658942,1.9000000000000057,66.5,64.6
BetMGM,-115,Over,Chicago White Sox,18.19177327240527,0.6321885547128654,-5.799999999999997,60.5,66.3
Fanduel,-105,Over,Colorodo Rockies,7.967857213875739,0.5530060979247294,-2.3999999999999986,59.5,61.9
Fanduel,-115,Over,Oakland Athletics,33.31784987762982,0.7130954760896479,-12.299999999999997,58.5,70.8
